question,category
Where is the School of Agriculture and Environmental Sciences based?,Facilities
Does UTG operate a cafeteria for students and staff?,Facilities
What does a 'Fail' grade represent in the grading system?,Academics
How many credit hours are typically assigned to undergraduate courses?,Academics
Can I study Pharmacy as a program at UTG?,Programs
What currency are international students expected to pay in?,Fees
What CGPA is required to graduate with First Class honours?,Academics
What is the purpose of the Gold Standard validation facility?,Facilities
What mark corresponds to a 'B' grade?,Academics
What was the year of establishment of the University of The Gambia?,General
Where is the Alieu Badara Joof Library located?,Facilities
What is the fee for the Diploma in Tourism and Hospitality Management?,Fees
Does UTG offer a doctoral program in History?,Programs
Is there a Moot Court facility at the university?,Facilities
Is the Technology fee required every semester?,Fees
What steps should I take if my bank payment does not appear on the portal?,Admission
Is there a program offering a Diploma in Data Science?,Programs
What is the University of The Gambia?,General
Are there scholarship programs available for students?,Programs
What is the policy regarding transfer of academic credits?,Admission
Is the application fee refundable if admission is not granted?,Fees
What scholarship opportunities are provided by WASCAL for UTG students?,Scholarships
Which department is responsible for the BSc in Software Engineering program?,Departments
Where can students locate the University Clinic?,Locations
What topics are covered in the course "Introduction to Programming" (CSC 101)?,Courses
Is it possible to hold two scholarships simultaneously at UTG?,Scholarships
What is the purpose of the course "Database Management Systems" (CSC 202)?,Courses
What is the graduation gown rental cost for the year 2026?,Graduation
How can students confirm that their course registration has been completed successfully?,Registration
What content is included in the "Introduction to Public Health" course?,Courses
Which departments belong to the Division of Humanities and Social Sciences?,Departments
What does the course "Macroeconomics" (ECO 102) mainly focus on?,Courses
Which departments operate under the School of Agriculture and Environmental Sciences?,Departments
What are the minimum CGPA requirements needed to graduate?,Graduation
What is the objective of the Department of Crop Production and Protection?,Departments
How do students apply for the MRC Holland Foundation scholarship?,Scholarships
Which academic schools are located at the Faraba Banta Campus?,Schools
What procedure should be followed to start the Final Year Clearance process?,Graduation
Is the course "English Composition" (ENGL 101) compulsory for every student?,Courses
Where can graduates collect their official degree certificates?,Graduation
What modules are included in the Data Science diploma program?,Courses
What is the role of the School of Graduate Studies and Research?,Schools
Which departments make up the School of ICT?,Departments
What steps must be taken to access the UTG online registration portal?,Registration
Which departments form the Division of Physical and Natural Sciences?,Departments
What is the MoHERST Scholarship?,Scholarships
What is the purpose of the Personnel Management Office (PMO) in scholarship administration?,Scholarships
Which academic unit is the largest within UTG?,Schools
Where are lectures for Law students typically conducted?,Locations
What academic topics are covered in the course "Constitutional Law I"?,Courses
Which departments must approve a student's clearance form before graduation?,Graduation
Where is the School of Medicine and Allied Health Sciences located?,Locations
Which department manages the Fisheries and Aquaculture programs?,Departments
What happens if a student misses the official registration deadline?,Registration
What does the term "Financial Clearance" mean during registration?,Registration
What scholarship program is known as the UTG Excellence Award?,Scholarships
What subjects are taught in the course "Principles of Management" (MGT 101)?,Courses
Which department is responsible for the Psychology and Sociology degree programs?,Departments
What is the purpose of the course "African History to 1800" (HIST 101)?,Courses
What is the role of the Division of Physical and Natural Sciences?,Schools
How can students obtain their official UTG email accounts?,Registration
Is there a specific department responsible for Nursing and Midwifery?,Departments
How many academic schools or faculties does UTG operate in 2026?,Schools
Can a student graduate if they still have a carryover course?,Graduation
What does the IsDB Scholarship Program provide?,Scholarships
Which school manages Environmental Sciences programs?,Schools
What is the focus area of the School of Journalism and Digital Media?,Schools
Where is the Alieu Badara Joof building situated?,Locations
Which department handles the Accountancy and Banking programs?,Departments
Is there a dedicated School of Engineering at UTG?,Schools
Which departments belong to the School of Business and Public Administration?,Schools
Where can the Directorate of Research and Consultancy be found?,Locations
How can students reach the Faraba Banta Campus?,Locations
What scholarship opportunities exist for students coming from rural schools?,Scholarships
What subjects are taught in the course "Environmental Chemistry"?,Courses
What requirements must be met to qualify for a MoHERST scholarship?,Scholarships
Where is the Peace Building located?,Locations
What is the main campus location of UTG in 2026?,Locations
Does the Agriculture program include studies in Soil Science?,Courses
Which academic programs are managed by the Department of Management Sciences?,Departments
How do students apply for course registration after receiving an admission letter?,Registration
What is the purpose of the Add/Drop period during course registration?,Registration
What are the major departments within the School of Business and Public Administration?,Departments
Does the Nursing program include the study of Human Anatomy and Physiology?,Courses
What currency is required for paying graduation-related fees?,Graduation
How are scholarship recipients officially informed of their awards?,Scholarships
What is the function of the Farafenni Campus?,Locations
How many guests are graduates allowed to invite to the convocation ceremony?,Graduation
Which schools are situated at Faraba Banta Lot 1?,Locations
Where is the Digital Square located?,Locations
Is the Kanifing Campus still used by UTG?,Locations
Which schools or programs operate at Faraba Banta Lot 2?,Locations
What process is used to verify academic results during graduation clearance?,Graduation
What is the purpose of the Letter of Attestation?,Graduation
Is the Access Programme eligible for scholarship funding?,Scholarships
Can students register for courses without paying fees first?,Registration
Where is the Office of the Vice Chancellor located?,Locations
How many departments exist within the School of Education?,Departments
What is the content of the course "Digital Marketing" (MKT 305)?,Courses
What scholarship programs are offered by the Mastercard Foundation at UTG?,Scholarships
Where is the School of Medicine and Allied Health Sciences physically based?,Schools
Which department oversees the MBChB (Medicine) program?,Departments
What is taught in the course "Calculus I" (MAT 101)?,Courses
Is the Alumni Registration Fee compulsory for graduating students?,Graduation
How do students decide which courses they must register for?,Registration
What is the role of the Pin Code in the course registration system?,Registration
Which academic divisions make up the School of Arts and Sciences?,Schools
Is there a campus located in Brikama?,Locations
What steps should be taken if a matriculation number is rejected by the portal?,Registration
Can students change their academic major during the registration process?,Registration
What benefits are typically included in a full scholarship at UTG?,Scholarships
Can international applicants apply for Gambian government scholarships?,Scholarships
What courses are offered within the Data Science diploma program?,Courses
Is Islamic Jurisprudence offered as a subject in the Law faculty?,Courses
What is located at the Faraba Banta Lot 2 campus area?,Locations
Are there any academic units at UTG that offer non-degree programs?,Schools
What types of postgraduate programs are offered by the School of ICT?,Schools
Which school is responsible for teaching Environmental Science programs?,Schools
What distinguishes the School of Education at Faraba Banta in 2026?,Schools
Is the Faculty of Law administratively separate from the School of Arts and Sciences?,Schools
How many academic guests are graduates typically allowed to invite to convocation?,Graduation
Does the university provide graduation gowns for postgraduate students as well?,Graduation
What happens if a student misplaces or damages their graduation gown?,Graduation
Can a student attend the convocation ceremony without completing their final project?,Graduation
How can a student obtain their official academic transcript from UTG?,Graduation
What is the procedure for registering courses if a student is funded by a government scholarship?,Registration
Is it possible to exceed the maximum allowed credit load during course registration?,Registration
What academic topics are covered in the course "Environmental Chemistry"?,Courses
Does the Agriculture curriculum include coursework related to Soil Science?,Courses
