question,answer,category
What is the 'Post-Graduate Diploma' sponsorship?,"Government grants aimed at professionalizing the civil service through PGD programs.",Scholarships
Can I apply for a scholarship in my second year?,"Yes, 'Continuing Student' scholarships are often available for those who perform exceptionally well.",Scholarships
What is the 'Research Assistantship'?,"A form of financial aid where graduate students are paid to assist faculty with research projects.",Scholarships
What is the 'Graduate Assistantship'?,"A program where Master's students help with tutoring and grading in exchange for tuition credit.",Scholarships
How do I verify if a scholarship advertisement is legitimate?,"Cross-check with the Dean of Students office or the official MoHERST website.",Scholarships
What is the 'Endowed' scholarship?,"A permanent fund established by a donor where the interest earned pays for student tuition.",Scholarships
Are there 'Nursing' fellowships?,"The WHO and other health organizations sometimes offer specialized fellowships for Nursing students.",Scholarships
What is the 'Sustainability' grant?,"A fund for students working on projects related to the UN Sustainable Development Goals.",Scholarships
Can I pause my scholarship if I defer a semester?,"You must seek written permission from the sponsor to 'suspend' the scholarship for a semester.",Scholarships
What is the 'Computer Science' prize?,"A cash award for the best final-year software development project.",Scholarships
Does 'Jah Oil' provide student support?,"As a major local company, they often provide scholarships for students from the North Bank Region.",Scholarships
How do I get a 'Stipend'?,"Stipends are usually only provided by high-level government or international research scholarships.",Scholarships
What is the 'Foundation Year' bursary?,"A small grant to help students cover the cost of the remedial pre-degree program.",Scholarships
