question,answer,category
What is the 'Chancery Hall'?,"The main ceremonial and meeting hall located within the administrative block at Faraba Banta.",General
Does the university have a regional office in Brikama?,"Yes, Brikama remains a site for specific teacher training and extension services.",General
What is the role of the 'Directorate of Quality Assurance'?,"It ensures that all academic programs meet national and international standards.",General
Who is the current Chancellor of the University?,"His Excellency President Adama Barrow serves as the Chancellor of the University.",General
What is the highest governing body of the university?,"The University Governing Council is the supreme authority responsible for policy and property.",General
Which office is responsible for the safety of students?,"The University Security Unit maintains a 24-hour presence across all campuses.",General
Where is the Directorate of ICT located?,"The main ICT Directorate is based at the Kanifing Campus within the Digital Square.",General
What is the function of the Deputy Vice-Chancellor Academic?,"This office oversees all academic programs, curriculum development, and faculty research.",General
Where is the School of Graduate Studies and Research?,"The school is headquartered at the Peace Building within the Kanifing Campus.",General
What is the 'Research and Consultancy' directorate?,"It is the unit that bridges university expertise with government and private sector projects.",General
Which department oversees the 'English' program?,"The Department of English and French within the School of Arts and Sciences.",General
Where is the 'University Village' located?,"The University Village is a residential zone for staff located at the Faraba Banta Campus.",General
What is the role of the 'Faculty Officer'?,"Each school has a Faculty Officer who handles administrative support and student records.",General
Where are the main student cafeterias in Faraba?,"The primary dining halls are located in the Student Center at the Faraba Banta Campus.",General
What is the 'Directorate of Finance' responsible for?,"It manages the university's budget, payroll, and student fee reconciliation.",General
Which school manages the 'Bachelor of Dental Surgery'?,"The School of Medicine and Allied Health Sciences, based in Banjul.",General
Where is the office of the 'Dean of Students'?,"The Dean of Students has offices at both the Kanifing and Faraba Banta campuses.",General
What is the 'University Motto'?,"The motto of UTG is 'Knowledge, Truth, and Service'.",General
Where can I find the 'Innovation Hub'?,"The UTG Innovation and Start-up Hub is located at the Digital Square in Kanifing.",General
Which department handles the 'Geography' curriculum?,"The Department of Geography and Environmental Studies under the School of Arts and Sciences.",General
What is the 'Lot 2' development in Faraba?,"Lot 2 houses the Chancery, the Faculty of Law, and the School of Agriculture.",General
Where is the 'Alumni House' located?,"The University Alumni Association maintains its primary office at the Kanifing Campus.",General
Which department is responsible for 'Chemistry'?,"The Department of Chemistry and Biochemistry within the School of Arts and Sciences.",General
What is the 'UTG Community Radio'?,"A campus-based broadcasting station used for journalism training and community outreach.",General
Where is the 'MDI Road' site?,"This is a section of the Kanifing Campus that houses the School of Journalism and Digital Media.",General
Who is the official spokesperson for the university?,"The University Relations Officer (URO) handles all official public communications.",General
Which department manages 'Human Resource Management'?,"The Department of Management Sciences within the School of Business.",General
Where is the 'Exams and Records' unit located?,"The unit is based at the Kanifing Campus to facilitate transcript and certificate processing.",General
What is the 'University Mace'?,"A ceremonial staff representing the authority of the university, used during convocation.",General
Which school oversees 'Climate Change' research?,"The School of Agriculture and Environmental Sciences, in collaboration with WASCAL.",General
Where is the 'Lot 1' academic block?,"Lot 1 houses the Schools of Business, ICT, Education, and Arts & Sciences in Faraba.",General
What is the 'Internal Audit' directorate?,"A unit that ensures financial transparency and adherence to university statutes.",General
Where do I go for 'Student Counseling' services?,"The Counseling Unit is located within the Dean of Students office at the Faraba Banta Campus.",General
Which department is responsible for 'Physics'?,"The Department of Physics under the Division of Physical and Natural Sciences.",General
What is the 'University Health Services' unit?,"It manages the campus clinics and provides basic medical care to students and staff.",General
Where is the 'Directorate of Quality Assurance'?,"This unit is located in the Chancery Building at the Faraba Banta Campus.",General
Which department manages 'Development Studies'?,"The Department of Political Science and Development Studies within the School of Arts and Sciences.",General
What is the 'UTG Printing Press'?,"A specialized facility at the Kanifing Campus used for official university publications.",General
Where are the 'Moot Court' facilities located?,"The Moot Court is situated within the Faculty of Law building at the Faraba Banta Campus.",General
Which department oversees 'Banking and Finance'?,"The Department of Economics and Finance within the School of Business.",General
What is the 'University Foundation Year'?,"A transition program for students needing to meet degree entry requirements.",General
Where is the 'Internal Security' headquarters?,"The main security office is located at the main gate of the Faraba Banta Campus.",General
Which department handles 'Microbiology' research?,"The Department of Biology within the School of Arts and Sciences.",General
What is the 'Digital Library' annex?,"A specialized electronic resource center located at the Kanifing Campus for graduate students.",General
Where is the office of the 'Internal Auditor'?,"The Auditor's office is located in the Chancery Building at Faraba Banta.",General
Which school offers 'Software Engineering'?,"The School of Information and Communication Technology (ICT).",General
What is the 'Peace Hut' at Kanifing?,"A traditional-style outdoor meeting space used for student groups and study circles.",General
Where is the 'Banjul Site' located?,"The Banjul site is situated near the Edward Francis Small Teaching Hospital (EFSTH).",General
Which department manages 'Public Administration'?,"The Department of Management Sciences within the School of Business.",General
What is the 'Research Commons'?,"A dedicated area within the Faraba Banta Library for postgraduate research and collaboration.",General
Where is the 'University Liaison Office'?,"The university maintains a liaison presence in Basse to assist regional stakeholders.",General
Which department oversees 'Islamic Studies'?,"The Department of Islamic and Religious Studies within the School of Arts and Sciences.",General
What is the '2021-2025 Strategic Plan'?,"The roadmap that guided the university's transition to the Faraba Banta Campus.",General
