question,answer,category
What is the 'Course Withdrawal' policy?,"Students can withdraw from a course without penalty within the first few weeks; later withdrawals result in a 'W' or academic penalty.",Academics
What is a 'Viva Voce'?,"An oral examination where a graduate student defends their research thesis in person.",Academics
What are 'Elective Courses'?,Optional modules that students can choose from to fulfill their credit requirements outside of core subjects.,Academics
What is 'Course Moderation'?,"The process of peer-reviewing exam papers and grading to ensure fairness and consistency.",Academics
What is the 'Dean's List'?,A recognition for undergraduate students who achieve an exceptional GPA (usually 3.5 or higher) in a single semester.,Academics
Can I repeat a course to improve my grade?,"Yes, students can repeat a course, but both the original and new grades may appear on the transcript, depending on the policy.",Academics
What is 'Plagiarism'?,The act of using someone else's work or ideas without proper attribution; it is a major academic offense.,Academics
What is the 'Grade Moderation' process?,"School boards review and approve final marks before they are submitted to the Registrar and Senate.",Academics
How many teaching weeks are in a semester?,A standard semester at UTG consists of 12 weeks of active lectures.,Academics
What is a 'Matriculation' ceremony?,The formal event where new students are officially inducted into the academic community of the university.,Academics
What is the 'Research Ethics Committee'?,"A board that reviews research proposals to ensure they protect the rights and welfare of participants.",Academics
How do I request a 'Letter of Attestation'?,"Students can apply for an attestation at the Exams and Records office to prove they have completed their studies before graduation.",Academics
What is the 'Credit Transfer' policy?,"Credits from other recognized institutions may be accepted if the courses are deemed equivalent to UTG modules.",Academics
What is the 'Departmental Board'?,"A committee of faculty members that manages the academic and administrative affairs of a specific department.",Academics
What is 'Grade Point' (GP)?,"The numerical value assigned to a letter grade (e.g., A=4, B=3, C=2, D=1, F=0).",Academics
What is the role of the 'Head of Department' (HOD)?,"The HOD provides academic leadership and manages the staff and students within a specific discipline.",Academics
What is 'Independent Study'?,A course where a student works on a specific topic under the close supervision of a faculty member.,Academics
How are 'Laboratory Credits' calculated?,"Lab hours usually count for fewer credits than lecture hours (e.g., 3 hours of lab might equal 1 credit hour).",Academics
What is the 'University Handbook'?,"A comprehensive guide containing all academic regulations, codes of conduct, and department info.",Academics
What constitutes a 'Resit' exam?,"An examination taken by a student who failed the original exam, usually offered during a specific window.",Academics
What is 'Academic Excellence' award?,"Prizes given at graduation to the top-performing students in each faculty or department.",Academics
What is a 'Co-requisite'?,"A course that must be taken at the same time as another specific course.",Academics
What is the 'Master's by Coursework' track?,"A program where the degree is awarded primarily through taught modules and a shorter project rather than a full thesis.",Academics
What is the 'PhD by Research' track?,"A doctoral program focused on original research and the production of a major thesis.",Academics
How is 'Class Participation' graded?,"Lecturers may allocate a percentage of the total grade to active involvement in class discussions.",Academics
What is an 'Official Transcript'?,"A certified record of a student's entire academic history, including all courses, grades, and the final CGPA.",Academics
What is 'Academic Standing'?,"A status indicating whether a student is in good standing, on probation, or subject to dismissal based on GPA.",Academics
What is the 'Final Grade Point Average' (FGPA)?,"The GPA that determines the honors classification at the end of a degree program.",Academics
How do I register for my 'Final Year Project'?,"Students must select a supervisor and register for the project module during their final year of study.",Academics
What is the 'Examination Permit'?,A document issued after fee clearance that allows a student to enter the examination hall.,Academics
What is 'Semester Break'?,The holiday period between the end of one semester's exams and the start of the next semester's registration.,Academics
What is 'Moderation of Results'?,The systematic checking of marks by a second internal or external examiner to ensure accuracy.,Academics
What are 'General Education Requirements' (GERs)?,"Compulsory courses for all students, regardless of major, covering fields like communication and logic.",Academics
What is a 'Course Code'?,"A unique alphanumeric identifier for each module (e.g., ENG 101 for English).",Academics
How do I calculate 'Total Quality Points' (TQP)?,"By summing the quality points (Credit x Grade Value) of all courses taken.",Academics
What is 'Academic Advising' week?,"A designated time before registration when students meet with faculty to plan their schedules.",Academics
What is the 'School Board'?,The governing body of an academic school that oversees exams and student affairs.,Academics
What is the 'University Bulletin'?,"A periodical publication sharing academic news, research breakthroughs, and institutional updates.",Academics
What is 'Curriculum Review'?,The periodic update of course content to ensure it remains relevant to industry and global standards.,Academics
What is a 'Tutorial'?,"A smaller group session where students discuss lecture material in detail with a tutor or lecturer.",Academics
What is the 'Graduation Audit'?,A final review of a student's record to confirm all degree requirements have been met.,Academics
What is 'Academic Dismissal'?,The involuntary removal of a student from the university due to failure to meet minimum academic standards.,Academics
How do I apply for 'Re-admission'?,Students who withdrew in good standing can apply to return via the Registrar's Office.,Academics
What is 'Course Content'?,"The specific topics, theories, and skills taught within a particular academic module.",Academics
What is an 'Academic Year'?,"The period consisting of two semesters, typically running from September to June.",Academics
What is 'Student Engagement'?,"The degree of attention, curiosity, and interest that students show when they are learning.",Academics
What is a 'Seminar'?,"A class where students and a lecturer discuss research papers or specific scholarly topics.",Academics
What is 'Blended Learning'?,An educational style that combines traditional face-to-face instruction with online learning materials.,Academics
What is 'Faculty Research'?,The scholarly investigations and publications produced by university teaching staff.,Academics
What is a 'Credit Weight'?,The relative importance of a course based on its credit hours in the context of the whole degree.,Academics
What is 'Academic Freedom'?,The right of faculty and students to research and discuss topics without censorship.,Academics
What is the 'Directorate of Planning and Quality Assurance' (DPQA)?,"The unit that monitors academic standards and institutional effectiveness.",Academics
How are 'Clinical Credits' calculated?,"Specialized credits for medical and nursing students based on hours spent in hospital rotations.",Academics
What is 'Standardized Grading'?,A system where all departments follow the same letter-to-percentage conversion scale.,Academics
What is 'Academic Misconduct'?,"Behaviors that violate university rules, such as fabrication of data or facilitating cheating.",Academics
What is a 'Degree Audit'?,A progress report showing which requirements a student has finished and what is still needed to graduate.,Academics
What is 'Service Learning'?,A teaching method that combines academic goals with community service.,Academics
What is 'Postgraduate' study?,"Academic work leading to a certificate, diploma, or degree beyond the bachelor's level.",Academics
What is 'Undergraduate' study?,The first level of university education leading to an associate or bachelor's degree.,Academics
What is 'Departmental Orientation'?,A session where new students meet their HOD and learn the specific rules of their major.,Academics
What is 'Interdisciplinary Study'?,A program or course that combines two or more academic disciplines.,Academics
How do I find 'Course Catalog' info?,"Available on the university website under the specific 'School' or 'Department' sections.",Academics
What is 'Academic Performance'?,The extent to which a student has achieved their short or long-term educational goals.,Academics
What is the 'Academic Registrar' role?,"The senior official responsible for managing student records, admissions, and examinations.",Academics
